============ TABLE 4: SORTED BY CUSTOM ASYMMETRIC VALUE SCORE ============

Symbol  | Trailing  Forward   Blended  | P/B Ratio  P/S Ratio | Final Value
ONRYT   |       N/A       N/A       N/A  |       1.32       3.71 |       3.7400
ECZYT   |       N/A       N/A       N/A  |       1.09        N/A |       3.7421
EKSUN   |       N/A       N/A       N/A  |       1.46       0.33 |       3.7509
YONGA   |       N/A       N/A       N/A  |       1.40       1.91 |       3.7515
KOPOL   |       N/A       N/A       N/A  |       1.45       1.33 |       3.7637
METRO   |       N/A       N/A       N/A  |       0.81      19.00 |       3.7646
HRKET   |       N/A       N/A       N/A  |       1.44       1.68 |       3.7659
JANTS   |       N/A       N/A       N/A  |       1.46       1.65 |       3.7787
MEDTR   |    110.35       N/A    110.35  |       0.96       0.88 |       3.7915
BVSAN   |       N/A       N/A       N/A  |       1.52       1.20 |       3.8000
MEKAG   |       N/A       N/A       N/A  |       1.55       0.88 |       3.8105
TKFEN   |       N/A     11.06       N/A  |       1.56       1.11 |       3.8187
RUZYE   |       N/A       N/A       N/A  |       1.37       6.96 |       3.8338
KRPLS   |       N/A       N/A       N/A  |       1.63       0.79 |       3.8525
GOODY   |       N/A       N/A       N/A  |       1.65       0.15 |       3.8542
ATSYH   |     30.17       N/A     30.17  |       6.97       8.32 |       3.8603
SNPAM   |       N/A       N/A       N/A  |       1.02      18.08 |       3.8632
MARMR   |       N/A       N/A       N/A  |       1.36        N/A |       3.8916
AVHOL   |       N/A       N/A       N/A  |       1.65       3.90 |       3.9247
HEKTS   |       N/A       N/A       N/A  |       1.63       4.34 |       3.9255
KLYPV   |       N/A       N/A       N/A  |       1.70       3.25 |       3.9436
GENIL   |     66.29       N/A     66.29  |       3.55       2.01 |       3.9445
EKIZ    |       N/A       N/A       N/A  |       1.76       1.69 |       3.9453
BEYAZ   |       N/A       N/A       N/A  |       1.82       0.12 |       3.9468
KNFRT   |       N/A       N/A       N/A  |       1.82       0.42 |       3.9503
SKYMD   |       N/A       N/A       N/A  |       1.84       0.04 |       3.9529
SMART   |       N/A       N/A       N/A  |       1.68       4.47 |       3.9531
LXGYO   |       N/A       N/A       N/A  |       1.71       4.28 |       3.9669
CLEBI   |     10.62    155.28     54.02  |       4.29       1.80 |       3.9838
EKOS    |       N/A       N/A       N/A  |       1.81       2.42 |       3.9863
YAYLA   |       N/A       N/A       N/A  |       1.32      16.54 |       3.9958
HURGZ   |       N/A       N/A       N/A  |       1.85       3.65 |       4.0321
KONYA   |     65.99       N/A     65.99  |       3.72       2.81 |       4.0429
BYDNR   |       N/A       N/A       N/A  |       2.01       0.80 |       4.0602
DGNMO   |       N/A       N/A       N/A  |       2.03       0.24 |       4.0606
ERSU    |       N/A       N/A       N/A  |       1.84       6.44 |       4.0827
HATSN   |       N/A       N/A       N/A  |       1.99       2.75 |       4.0919
DAGI    |       N/A       N/A       N/A  |       2.07       1.08 |       4.1001
SUWEN   |       N/A       N/A       N/A  |       2.09       0.41 |       4.1010
ALCTL   |       N/A       N/A       N/A  |       2.06       1.31 |       4.1019
BRLSM   |       N/A       N/A       N/A  |       2.11       0.66 |       4.1139
FENER   |       N/A       N/A       N/A  |       2.07       1.77 |       4.1158
MEYSU   |       N/A       N/A       N/A  |       2.05       2.43 |       4.1178
ENSRI   |       N/A       N/A       N/A  |       1.93       7.13 |       4.1459
MSGYO   |    129.20       N/A    129.20  |       0.58       2.32 |       4.1656
CASA    |       N/A       N/A       N/A  |       1.86      -0.96 |       4.1660
AZTEK   |       N/A       N/A       N/A  |       2.21       0.47 |       4.1683
CUSAN   |       N/A       N/A       N/A  |       2.22       0.64 |       4.1729
SEKUR   |     70.59       N/A     70.59  |       3.78       1.32 |       4.1806
DESPC   |       N/A       N/A       N/A  |       2.25       0.11 |       4.1811
CELHA   |       N/A       N/A       N/A  |       2.11       4.35 |       4.1902
ISYAT   |    109.86       N/A    109.86  |       1.70       1.27 |       4.1911
GLBMD   |       N/A       N/A       N/A  |       2.36       0.05 |       4.2384
BJKAS   |       N/A       N/A       N/A  |       2.37       1.62 |       4.2761
FMIZP   |     40.25       N/A     40.25  |       6.22       5.86 |       4.2767
TTRAK   |       N/A      3.63       N/A  |       2.43       0.88 |       4.2943
UCAYM   |     95.33       N/A     95.33  |       2.69       1.94 |       4.3241
VSNMD   |       N/A       N/A       N/A  |       2.28       6.45 |       4.3264
ETILR   |       N/A       N/A       N/A  |       2.53       0.73 |       4.3463
ASTOR   |     35.29       N/A     35.29  |       7.62       8.05 |       4.3495
AKHAN   |       N/A       N/A       N/A  |       2.53       1.70 |       4.3649
ZERGY   |       N/A       N/A       N/A  |       1.98      18.33 |       4.3953
BURCE   |       N/A       N/A       N/A  |       2.50       4.20 |       4.3998
ALKA    |       N/A       N/A       N/A  |       2.71       2.17 |       4.4752
ADGYO   |       N/A       N/A       N/A  |       1.66      31.59 |       4.4869
MIATK   |       N/A       N/A       N/A  |       2.64       5.99 |       4.5158
GZNMI   |       N/A       N/A       N/A  |       2.94       1.20 |       4.5843
ARFYE   |       N/A       N/A       N/A  |       2.60      11.92 |       4.6075
ASELS   |     47.96       N/A     47.96  |       5.54       8.42 |       4.6263
TEHOL   |     25.97       N/A     25.97  |      10.16      20.53 |       4.6296
SELEC   |    112.94     25.45     86.69  |       3.81       0.75 |       4.6578
NIBAS   |       N/A       N/A       N/A  |       2.79      10.98 |       4.6934
KLRHO   |     87.92       N/A     87.92  |       3.44      10.80 |       4.6948
SAMAT   |    132.00       N/A    132.00  |       0.88      16.72 |       4.7006
EUPWR   |     71.00       N/A     71.00  |       4.62       3.75 |       4.7043
FZLGY   |       N/A       N/A       N/A  |       3.05       4.79 |       4.7168
AYCES   |       N/A       N/A       N/A  |       2.20      29.89 |       4.7502
KCAER   |    123.58       N/A    123.58  |       2.08       1.22 |       4.8034
ESCAR   |       N/A       N/A       N/A  |       3.20       5.88 |       4.8179
SONME   |       N/A       N/A       N/A  |       1.89      46.33 |       4.9088
KMPUR   |    118.82       N/A    118.82  |       2.57       0.75 |       4.9227
IZINV   |    110.49       N/A    110.49  |       2.68      10.42 |       4.9347
DITAS   |       N/A       N/A       N/A  |       3.58       1.82 |       4.9477
EUYO    |       N/A       N/A       N/A  |       3.62       5.17 |       5.0370
ALCAR   |       N/A       N/A       N/A  |       3.87       1.04 |       5.0888
DGATE   |     46.15       N/A     46.15  |       8.40       0.19 |       5.0895
ARMGD   |     52.17       N/A     52.17  |       6.79       3.84 |       5.1496
OYAYO   |     80.94       N/A     80.94  |       5.07       1.97 |       5.2072
AKSUE   |       N/A       N/A       N/A  |       2.77      39.35 |       5.2503
PRDGS   |    141.20       N/A    141.20  |       0.57      40.23 |       5.2697
MCARD   |       N/A       N/A       N/A  |       4.17       4.84 |       5.3311
KAPLM   |       N/A       N/A       N/A  |       4.26       3.63 |       5.3547
DCTTR   |       N/A       N/A       N/A  |       4.33       2.95 |       5.3791
ICUGS   |       N/A       N/A       N/A  |       4.24       7.24 |       5.4154
BSOKE   |       N/A       N/A       N/A  |       4.19       9.81 |       5.4439
BAYRK   |       N/A       N/A       N/A  |       4.51       4.58 |       5.5113
OTKAR   |       N/A       N/A       N/A  |       4.68       0.72 |       5.5303
TGSAS   |     51.94       N/A     51.94  |       7.78      11.64 |       5.5383
HUBVC   |       N/A       N/A       N/A  |       1.34      94.62 |       5.5688
SEYKM   |    157.33       N/A    157.33  |       1.65       3.77 |       5.6083
PAMEL   |       N/A       N/A       N/A  |       3.65      33.22 |       5.6108
VANGD   |       N/A       N/A       N/A  |       4.34      15.63 |       5.6434
INVES   |     37.75       N/A     37.75  |       4.93     101.35 |       5.7013
EMPAE   |       N/A       N/A       N/A  |       5.05       2.32 |       5.7677
OTTO    |    156.02       N/A    156.02  |       2.07       3.69 |       5.7998
PEKGY   |     30.92       N/A     30.92  |       1.39     207.55 |       5.8231
SDTTR   |    106.32       N/A    106.32  |       4.79       5.27 |       5.8669
BAHKM   |       N/A       N/A       N/A  |       5.07       7.56 |       5.8819
SUMAS   |    123.97       N/A    123.97  |       3.96       3.05 |       5.8861
INTEM   |    105.62       N/A    105.62  |       4.97       2.39 |       5.8898
VAKKO   |    182.78       N/A    182.78  |       0.99       0.53 |       5.9301
SODSN   |       N/A       N/A       N/A  |       5.41       3.64 |       5.9890
GRNYO   |       N/A       N/A       N/A  |       5.53       1.16 |       6.0054
POLHO   |       N/A       N/A       N/A  |       5.48       2.62 |       6.0071
BRYAT   |     10.30       N/A     10.30  |       1.34     250.98 |       6.0208
CVKMD   |       N/A       N/A       N/A  |       5.17      16.75 |       6.1183
ADEL    |       N/A       N/A       N/A  |       5.83       2.96 |       6.2048
SANFM   |    112.50       N/A    112.50  |       5.33       2.80 |       6.2973
CEMZY   |       N/A       N/A       N/A  |       5.84      10.26 |       6.3602
KLSER   |       N/A       N/A       N/A  |       6.33       0.85 |       6.4410
KARTN   |       N/A       N/A       N/A  |       6.26       4.21 |       6.4688
KAREL   |       N/A       N/A       N/A  |       6.52       0.39 |       6.5340
BMSCH   |    204.33       N/A    204.33  |       0.96       0.54 |       6.5507
THYAO   |     31.31      4.36     23.23  |      19.85      17.14 |       6.8074
TMPOL   |       N/A       N/A       N/A  |       7.15       5.01 |       6.9762
VAKFA   |    215.40       N/A    215.40  |       1.31       1.10 |       7.0801
EDATA   |       N/A       N/A       N/A  |       7.54       2.90 |       7.1447
ULUSE   |     27.52       N/A     27.52  |      21.39       2.44 |       7.1779
KGYO    |       N/A       N/A       N/A  |       7.80       5.41 |       7.3393
AKFIS   |    217.14       N/A    217.14  |       1.63       5.69 |       7.3953
PRKAB   |       N/A       N/A       N/A  |       8.21       0.43 |       7.4650
KRDMD   |    163.36       N/A    163.36  |       4.87       0.74 |       7.4995
PRZMA   |     67.28       N/A     67.28  |       9.12      46.08 |       7.5550
QNBFK   |     56.57       N/A     56.57  |      12.95      36.31 |       7.6234
MARKA   |       N/A       N/A       N/A  |       7.96      18.58 |       7.6914
INVEO   |    242.00       N/A    242.00  |       0.71     -17.21 |       7.7062
KRDMA   |    167.92       N/A    167.92  |       5.01       0.78 |       7.7094
CEOEM   |    222.00       N/A    222.00  |       2.20       1.05 |       7.7614
BMSTL   |       N/A       N/A       N/A  |       8.87       5.04 |       7.9180
RALYH   |     83.20       N/A     83.20  |       9.98       8.92 |       8.0562
BIGCH   |    226.33       N/A    226.33  |       2.60       0.78 |       8.1000
ALFAS   |    227.56       N/A    227.56  |       2.57       2.11 |       8.1469
VERUS   |       N/A       N/A       N/A  |       7.73      51.05 |       8.2155
SKYLP   |       N/A       N/A       N/A  |       9.34      10.30 |       8.2863
EUKYO   |       N/A       N/A       N/A  |       9.31      12.72 |       8.3137
MAGEN   |       N/A       N/A       N/A  |       7.20      75.27 |       8.4061
ARZUM   |       N/A       N/A       N/A  |        N/A       0.23 |       8.4457
CRFSA   |       N/A       N/A       N/A  |        N/A       0.28 |       8.4468
NETAS   |       N/A       N/A       N/A  |        N/A       0.31 |       8.4474
TKNSA   |       N/A      1.72       N/A  |      10.01       0.04 |       8.4488
BORLS   |       N/A       N/A       N/A  |        N/A       0.58 |       8.4527
VKING   |       N/A       N/A       N/A  |        N/A       1.44 |       8.4700
YAPRK   |    206.60       N/A    206.60  |       4.09      10.49 |       8.5346
ULAS    |       N/A       N/A       N/A  |       1.15     252.42 |       8.6235
GMTAS   |       N/A       N/A       N/A  |        N/A        N/A |       8.6412
DOFRB   |     90.26       N/A     90.26  |      10.19      19.91 |       8.6559
OBASE   |    249.38       N/A    249.38  |       2.37       2.17 |       8.6815
SVGYO   |       N/A       N/A       N/A  |       3.45     194.60 |       8.7299
DUNYH   |    203.33       N/A    203.33  |       3.65      40.69 |       8.7997
TSGYO   |    280.00       N/A    280.00  |       0.54      14.62 |       8.8235
ETYAT   |       N/A       N/A       N/A  |      10.33      13.35 |       8.8891
EGEPO   |    227.12       N/A    227.12  |       4.32       6.45 |       9.1858
KUVVA   |       N/A       N/A       N/A  |      11.15       6.03 |       9.1934
CMBTN   |       N/A       N/A       N/A  |      11.63       0.64 |       9.3528
MZHLD   |       N/A       N/A       N/A  |      13.02       0.25 |       9.7299
VKFYO   |       N/A       N/A       N/A  |      12.90       4.04 |       9.7763
BINBN   |       N/A       N/A       N/A  |      11.01      39.54 |       9.7855
EMNIS   |    257.29       N/A    257.29  |       4.14       1.99 |       9.8819
KUYAS   |     83.18       N/A     83.18  |      15.96      27.94 |       9.9315
ANELE   |       N/A       N/A       N/A  |      13.52       4.81 |       9.9475
MANAS   |       N/A       N/A       N/A  |      12.66      19.39 |      10.0239
DMRGD   |    168.00       N/A    168.00  |       8.83      14.14 |      10.0799
BIZIM   |       N/A       N/A       N/A  |      14.51       0.05 |      10.0993
TDGYO   |     86.05       N/A     86.05  |       1.99     329.14 |      10.2062
KENT    |       N/A       N/A       N/A  |      14.47       6.59 |      10.2188
MRSHL   |       N/A       N/A       N/A  |      15.12       4.37 |      10.3373
ALKLC   |       N/A       N/A       N/A  |      15.51       8.57 |      10.5191
RODRG   |    174.29       N/A    174.29  |       9.93       8.89 |      10.7681
MAALT   |    233.02       N/A    233.02  |       1.61     173.51 |      11.2107
ONCSM   |    131.02       N/A    131.02  |      13.34       8.19 |      11.3569
BIGEN   |       N/A       N/A       N/A  |      18.90      52.11 |      12.2366
LYDYE   |     11.25       N/A     11.25  |       7.54     483.31 |      12.2797
BFREN   |    105.25       N/A    105.25  |      21.74       4.97 |      12.3458
DIRIT   |       N/A       N/A       N/A  |      14.84     108.53 |      12.3509
GUBRF   |     18.66   1136.43    353.99  |       3.75       2.34 |      12.5230
EKGYO   |    222.13    888.50    422.04  |       0.47       0.71 |      12.6847
KTLEV   |    108.75       N/A    108.75  |      21.97      20.68 |      12.9437
GOLTS   |    433.33       N/A    433.33  |       0.49       0.76 |      13.0292
EREGL   |    604.86      6.87    425.46  |       0.96       1.32 |      13.0698
IHAAS   |       N/A       N/A       N/A  |      27.00      14.83 |      13.5166
NUHCM   |    433.20       N/A    433.20  |       1.43       1.87 |      13.5649
PASEU   |     99.41       N/A     99.41  |      26.31      44.64 |      13.9018
BIGTK   |    303.02       N/A    303.02  |       8.70      14.51 |      13.9897
IZFAS   |       N/A       N/A       N/A  |      28.77      25.04 |      14.1631
BALAT   |     35.00       N/A     35.00  |      19.22     425.86 |      15.5870
ENPRA   |       N/A       N/A       N/A  |      34.72      43.53 |      16.0206
ALTNY   |    506.00       N/A    506.00  |       3.02       5.30 |      16.6469
ZGYO    |       N/A       N/A       N/A  |       2.35     631.23 |      16.8594
IEYHO   |       N/A       N/A       N/A  |      40.80      46.31 |      17.5963
UFUK    |    159.82       N/A    159.82  |      31.21        N/A |      18.3434
DSTKF   |    129.38       N/A    129.38  |      38.74      82.31 |      19.7025
KRDMB   |    538.80     14.27    381.44  |      16.07       2.62 |      20.1109
DOGUB   |       N/A       N/A       N/A  |      51.44      48.77 |      20.3055
BURVA   |       N/A       N/A       N/A  |      58.78      24.72 |      21.6608
BRMEN   |       N/A       N/A       N/A  |      64.48       8.02 |      22.7510
TARKM   |    713.08       N/A    713.08  |       3.22       4.73 |      22.8377
INTEK   |    442.81       N/A    442.81  |      18.17       6.26 |      23.1413
OZATD   |       N/A       N/A       N/A  |      60.52     102.06 |      23.6423
GUNDG   |       N/A       N/A       N/A  |      80.89      40.80 |      27.5099
KRTEK   |    964.50       N/A    964.50  |       0.37       0.46 |      28.5805
LYDHO   |       N/A       N/A       N/A  |       9.72    1060.63 |      29.4996
GATEG   |    869.70       N/A    869.70  |      10.43       7.08 |      31.4583
SMRTG   |   1082.00       N/A   1082.00  |       3.88       2.02 |      33.9985
EFOR    |   1045.00       N/A   1045.00  |       8.72       3.47 |      35.6004
PAPIL   |   1151.00       N/A   1151.00  |       5.54      23.78 |      37.3780
KLKIM   |   1261.00       N/A   1261.00  |       1.63       1.10 |      38.0056
KUTPO   |   1337.50       N/A   1337.50  |       0.67       0.74 |      39.7194
TURGG   |   1316.00       N/A   1316.00  |       1.52        N/A |      39.7414
MAKIM   |   1602.00       N/A   1602.00  |       1.45       1.25 |      47.9408
BLUME   |   1668.00       N/A   1668.00  |       5.31      18.07 |      52.3433
PKENT   |    605.71       N/A    605.71  |      66.08      80.32 |      55.7645
DOCO    |     21.32     26.84     22.97  |     253.15      50.06 |      65.7745
HEDEF   |    509.58       N/A    509.58  |     150.54     348.04 |      77.5693
INGRM   |   3393.18       N/A   3393.18  |       4.47       0.31 |     102.2668
MMCAS   |   6130.00       N/A   6130.00  |        N/A     107.32 |     187.9404
KSTUR   |  10041.67       N/A  10041.67  |      12.05      23.48 |     302.4377
TRHOL   |    613.16       N/A    613.16  |    1222.30     117.24 |     347.5934
POLTK   |   3349.26       N/A   3349.26  |     558.55     315.45 |     362.6644
ODINE   |  10191.30       N/A  10191.30  |     116.54     112.78 |     366.0945
GOZDE   |       N/A       N/A       N/A  |       0.34   19518.88 |     393.5062
ISBTR   |       N/A       N/A       N/A  |   27840.97   29333.83 |    7553.3884
ISATR   |       N/A       N/A       N/A  |  293908.10  309667.78 |   79676.8512
ISKUR   | 11991279.00       N/A 11991279.00  |  244923.42        N/A |  487392.7575
